Category,Description,Nutrient Data Bank Number,Data.Household Weights(Gram),Data.Household Weight Description
ARTICHOKES,"ARTICHOKES,(GLOBE OR FRENCH),FRZ,UNPREP",11009,255,"1 package,  (9 oz)"
ARUGULA,"ARUGULA,RAW",11959,2,1 leaf
ASPARAGUS,"ASPARAGUS,CKD,BLD,DRND",11012,90,.5 cup
ASPARAGUS,"ASPARAGUS,CKD,BLD,DRND,W/SALT",11705,90,.5 cup
ASPARAGUS,"ASPARAGUS,CND,REG PK,SOL&LIQUIDS",11013,122,.5 cup
ASPARAGUS,"ASPARAGUS,CND,NO SALT,SOL&LIQUIDS",11707,122,.5 cup
ASPARAGUS,"ASPARAGUS,RAW",11011,134,1 cup
ASPARAGUS,"ASPARAGUS,FRZ,CKD,BLD,DRND,WO/SALT",11019,180,1 cup
ASPARAGUS,"ASPARAGUS,FRZ,CKD,BLD,DRND,W/SALT",11709,180,1 cup
ASPARAGUS,"ASPARAGUS,CND,DRND SOL",11015,242,1 cup
ASPARAGUS,"ASPARAGUS,FRZ,UNPREP",11018,284,"1 package,  (10 oz)"
AVOCADOS,"AVOCADOS,RAW,ALL COMM VAR",9037,150,"1 cup, cubes"
AVOCADOS,"AVOCADOS,RAW,CALIFORNIA",9038,230,"1 cup, pureed"
AVOCADOS,"AVOCADOS,RAW,FLORIDA",9039,230,"1 cup, pureed"
BACON,"BACON,MEATLESS",16104,144,1 cup
BAGELS,"BAGELS,EGG",18003,26,"1 bagel,  mini (2-1/2"" dia)"
BAGELS,"BAGELS,PLN,UNENR,W/CA PROP (INCL ONION,POPPY,SESAME)",18406,26,"1 bagel,  mini (2-1/2"" dia)"
BAGELS,"BAGELS,PLN,UNENR,WO/CA PROP (INCL ONION,POPPY,SESAME)",18407,26,"1 bagel,  mini (2-1/2"" dia)"
BAGELS,"BAGEL,PLN,TSTD, ENR W/CA PROP(INCLUDE ONION,POPPY,SESAME)",18001,28.35,1 oz
BAGELS,"BAGELS,PLN,TSTD,ENR W/CA PROP (INCLUDES ONION,POPPY,SESAME)",18002,28.35,1 oz
BAGELS,"BAGELS,CINNAMON-RAISIN",18005,28.35,1 oz
BAGELS,"BAGELS,CINNAMON-RAISIN,TSTD",18006,28.35,1 oz
BAGELS,"BAGELS,OAT BRAN",18007,28.35,1 oz
BAGELS,"BAGELS,PLN,ENR,WO/CA PROP (INCL ONION,POPPY,SESAME)",18403,28.35,1 oz
BALSAM-PEAR (BITTER GOURD),"BALSAM-PEAR (BITTER GOURD),LEAFY TIPS,RAW",11022,4,1 leaf
BALSAM-PEAR (BITTER GOURD),"BALSAM-PEAR (BITTER GOURD),LEAFY TIPS,CKD,BLD,DRND,WO/SALT",11023,58,1 cup
BALSAM-PEAR (BITTER GOURD),"BALSAM-PEAR (BITTER GOURD),LEAFY TIPS,CKD,BLD,DRND,W/SALT",11710,58,1 cup
BALSAM-PEAR (BITTER GOURD),"BALSAM-PEAR (BITTER GOURD),PODS,RAW",11024,93,"1 cup,  (1/2"" pieces)"
BALSAM-PEAR (BITTER GOURD),"BALSAM-PEAR (BITTER GOURD),PODS,CKD,BLD,DRND,WO/SALT",11025,124,"1 cup,  (1/2"" pieces)"
BALSAM-PEAR (BITTER GOURD),"BALSAM-PEAR (BITTER GOURD),PODS,CKD,BLD,DRND,W/SALT",11711,124,"1 cup,  (1/2"" pieces)"
BAMBOO SHOOTS,"BAMBOO SHOOTS,CKD,BLD,DRND,WO/SALT",11027,120,"1 cup,  (1/2"" slices)"
BAMBOO SHOOTS,"BAMBOO SHOOTS,CKD,BLD,DRND,W/SALT",11712,120,"1 cup,  (1/2"" slices)"
BAMBOO SHOOTS,"BAMBOO SHOOTS,CND,DRND SOL",11028,131,"1 cup,  (1/8"" slices)"
