Category,Description,Nutrient Data Bank Number,Data.Alpha Carotene,Data.Ash,Data.Beta Carotene,Data.Beta Cryptoxanthin,Data.Carbohydrate,Data.Cholesterol,Data.Choline,Data.Fiber,Data.Kilocalories,Data.Lutein and Zeaxanthin,Data.Lycopene,Data.Manganese,Data.Niacin,Data.Pantothenic Acid,Data.Protein,Data.Refuse Percentage,Data.Retinol,Data.Riboflavin,Data.Selenium,Data.Sugar Total,Data.Thiamin,Data.Water,Data.Fat.Monosaturated Fat,Data.Fat.Polysaturated Fat,Data.Fat.Saturated Fat,Data.Fat.Total Lipid,Data.Household Weights(Gram),Data.Household Weight Description,Data.Major Minerals.Calcium,Data.Major Minerals.Copper,Data.Major Minerals.Iron,Data.Major Minerals.Magnesium,Data.Major Minerals.Phosphorus,Data.Major Minerals.Potassium,Data.Major Minerals.Sodium,Data.Major Minerals.Zinc,Data.Vitamins.Vitamin A - IU,Data.Vitamins.Vitamin A - RAE,Data.Vitamins.Vitamin B12,Data.Vitamins.Vitamin B6,Data.Vitamins.Vitamin C,Data.Vitamins.Vitamin E,Data.Vitamins.Vitamin K
ALMONDS,ALMONDS,12061,0,2.99,1,0,21.67,0,52,12.19999981,575,1,0,2.285,3.385,0.469,21.22,60,0,1.014,2.5,3.890000105,0.211,4.7,30.889,12.07,3.731,49.42,95,1 cup  ground,264,0.996,3.72,268,484,705,1,3.08,1,0,0,0.143,0,26.22,0
ALMONDS,ALMONDS DRY ROASTED WITHOUT SALT,12063,0,3.2,1,0,19.29,0,52,11.80000019,597,1,0,2.62,3.85,0.229,22.09,0,0,0.859,2.8,4.900000095,0.074,2.6,33.658,12.649,4.047,52.83,138,1 cup  whole kernels,266,1.17,4.51,286,489,746,1,3.54,1,0,0,0.126,0,26,0
ALMONDS,ALMONDS DRY ROASTED WITH SALT,12563,0,3.2,1,0,19.29,0,52,11.80000019,597,1,0,2.62,3.85,0.229,22.09,0,0,0.859,2.8,4.900000095,0.074,2.6,33.658,12.649,4.047,52.83,138,1 cup  whole kernels,266,1.17,4.51,286,489,746,339,3.54,1,0,0,0.126,0,26,0
ALMONDS,ALMONDS HONEY ROASTED UNBLANCHED,12206,0,2.33,0,0,27.9,0,0,13.69999981,594,0,0,2.003,2.819,0.258,18.17,0,0,0.953,0,0,0.114,1.7,32.402,10.472,4.73,49.9,144,1 cup  whole kernels,263,0.97,2.83,240,400,560,130,2.6,0,0,0,0.085,0.7,0,0
ALMONDS,ALMONDS BLANCHED,12062,0,3.02,4,0,19.94,0,52,10.39999962,581,1,0,2.24,3.66,0.311,21.94,0,0,0.56,2.8,4.960000038,0.2,4.47,32.287,12.054,3.89,50.62,145,1 cup  whole kernels,216,1.17,3.72,275,480,687,28,3.12,7,0,0,0.12,0,24.71,0
ALMONDS,ALMONDS OIL ROASTED WITHOUT SALT,12065,0,3.13,1,0,17.68,0,52,10.5,607,1,0,2.46,3.665,0.229,21.23,0,0,0.781,2.8,4.550000191,0.092,2.8,34.793,13.519,4.208,55.17,157,1 cup  whole kernels,291,0.955,3.68,274,466,699,1,3.07,1,0,0,0.118,0,25.97,0
ALMONDS,ALMONDS OIL ROASTED WITH SALT,12565,0,3.13,1,0,17.68,0,52,10.5,607,1,0,2.46,3.665,0.229,21.23,0,0,0.781,2.8,4.550000191,0.092,2.8,34.793,13.519,4.208,55.17,157,1 cup  whole kernels,291,0.955,3.68,274,466,699,339,3.07,1,0,0,0.118,0,25.97,0
ALMONDS,ALMOND PASTE,12071,0,1.37,0,0,47.81,0,28,4.800000191,458,1,0,0.856,1.422,0.113,9,0,0,0.414,4.2,36.25,0.082,14.08,18.012,5.821,2.629,27.74,227,1 cup   firmly packed,172,0.454,1.6,130,258,314,9,1.48,0,0,0,0.036,0.1,13.54,0
AMARANTH,AMARANTH UNCOOKED,19905,7,1.74,25,1,60.55,7,0,7.199999809,547,31,0,1.44,0.747,0.304,5.09,0,0,0.051,3.5,46.13999939,0.026,1,9.801,1.107,18.993,31.62,28.35,1 oz,57,1.076,8.13,152,214,568,23,2.11,49,2,0.23,0.041,0,0,8
AMARANTH GRAIN,AMARANTH GRAIN COOKED,20001,0,2.88,1,0,65.25,0,70,6.699999809,371,28,0,3.333,0.923,1.457,13.56,0,0,0.2,18.7,1.690000057,0.116,11.29,1.685,2.778,1.459,7.02,193.02,1 cup,159,0.525,7.61,248,557,508,4,2.87,2,0,0,0.591,4.2,1.19,0
